title,price
Strontium Nitro A1 64GB Micro SDXC Memory Card 100MB/s A1 UHS-I U3 Class 10 with High Speed Adapter for Smartphones Tablets Drones Action Cams (SRN64GTFU3A1A),699
Rockpapa M163- Mono Mono Bluetooth Headset ( Black ),159
editrix SH-12 On-Ear Bluetooth Headset ( Assorted ),499
Toshiba 32 GB USB 2.0 Pendrive ( Multi ),529
"Philips BG1024 Body Groomer For Men ( Black , AA Battery )","1,495"
"ASUS ZenBook Flip 14 (AMD Quad Core R5-3500U/8 GB DDR4 2400MHz/PCIE NVME 512 GB/35.56 cm (14 inch)/FHD IPS Touch/MS Office/Windows 10) UM462DA-AI501TS (Light Grey, 1.60kg)","72,990"
Vivo S1 Pro 8 GB 128 GB Mystic Black,"19,990"
boAt Bassheads 172 In-Ear Wired Headphone ( Black ),479
SanDisk 128GB Class 10 microSDXC Memory Card(SDSQUAR-128G-GN6MA),"1,539"
Kubra Kb-329 Hair Straightener ( Black ),299
Lenovo ThinkPad E14 Intel Core i5 10th Gen 14-inch Full HD Laptop (4GB RAM/ 500GB HDD/ Dos/ Black/ 1.77 kg)  20RAS0XB00,"52,990"
Vivo Y91i 3 GB 32 GB Fusion Black,"8,990"
Pickadda S530 Mono Bluetooth Headset ( Black ),169
WD WDBYNN0010BWT 1 TB USB 3.0 External HDD - White,"3,849"
Perfect Nova (Device Of Man) PNHT 712 Professional Cordless Trimmer for Men(White),409
"Lenovo ThinkPad E14 Intel Core i5 10th Gen 14-inch Full HD Thin and Light Laptop (8GB RAM/ 512GB SSD/ Windows 10 Professional/ Black/ 1.77 kg), 20RAS13M00","75,690"
OPPO F15 8GB 128GB Unicorn White,"18,990"
ZAUKY qc10 In-Ear Bluetooth Headset ( Assorted ),175
Strontium Memory Card 16 GB Micro SD Class 10,329
Philips Bt3221/15 Mustache & beard trimmer For Men ( Black ),"2,116"
